# NSSDC Jovian satellite fact sheet, retrieved 2026-07-28 (regular + irregular satellites)
# body,a_km,P_days
Metis,128000,0.294780
Amalthea,181366,0.498179
Thebe,221900,0.6745
Io,421800,1.769138
Europa,671100,3.551181
Ganymede,1070400,7.154553
Callisto,1882700,16.689017
Himalia,11461000,250.56
