pl_name,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_dens,pl_insol,pl_eqt,pl_orbeccen,pl_ratror,pl_ratdor,pl_trandep,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_pnum,pl_ratror_reflink,pl_ratdor_reflink,pl_trandep_reflink
"K2-415 b",1.01500000,7.50000000,4.01796940000,0.0270000000,,4.8200,412.40,,0.04720000,29.630000,0.28089118,3173.00,0.196500,0.163500,-0.1300,5.066000,21.81820000,1,"<a refstr=HIRANO_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..131H/abstract target=ref>Hirano et al. 2023</a>","<a refstr=HIRANO_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..131H/abstract target=ref>Hirano et al. 2023</a>","<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>"
"Kepler-1007 b",1.44000000,2.67000000,5.18500207300,0.0480000000,4.910000,42.6200,652.00,0.000000,0.01921300,18.865000,0.04472000,4587.00,0.700000,0.730000,0.0300,4.620000,365.00000000,1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>"
"HD 12661 b",13.30000000,772.32690000,262.70862000000,0.8400000000,1.800000,1.9237,325.35,0.380000,,,,5645.00,1.200000,1.200000,0.3600,4.360000,37.84780000,2,,,
"K2-75 b",2.67000000,7.61000000,7.81420000000,0.0810000000,2.200000,430.0000,1268.65,,0.01560000,10.300000,0.03920000,5995.00,1.560000,1.160000,0.3000,4.118000,561.93000000,2,"<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>"
"HD 180314 b",12.00000000,7216.92963775,394.73000000000,1.4480000000,22.900000,20.9853,597.64,0.247000,,,,4917.00,9.200000,2.600000,0.2000,2.980000,122.36200000,1,,,
"Kepler-551 b",2.73000000,7.90000000,12.37646610000,0.0893000000,2.130000,14.3860,483.00,0.000000,0.04025100,28.200000,0.17710000,4286.00,0.630000,0.650000,-0.0900,4.660000,311.17500000,1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>"
"Kepler-181 c",1.99000000,4.62000000,4.30214900000,0.0490000000,3.220000,168.1880,937.00,0.000000,0.02504100,16.820000,0.07472000,5333.00,0.749000,0.810000,-0.0400,4.619000,609.28300000,2,"<a refstr=FULTON__AMP__PETIGURA_2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..264F/abstract target=ref>Fulton &amp; Petigura 2018</a>","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>"
"TOI-3664 b",13.69737442,114.41822652,3.29748390000,0.0431000000,0.248000,349.5440,1232.00,0.159000,0.11320000,,1.34040000,5593.00,1.110000,0.980000,0.1700,4.370000,464.74800000,1,"<a refstr=BATTLEY_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260605295B/abstract target=ref>Battley et al. 2026</a>",,"<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>"
"Kepler-268 c",3.38000000,11.40000000,83.44639300000,0.3910000000,1.620000,13.6620,471.00,0.000000,0.02043700,99.761000,0.05030000,6081.00,1.274000,1.109000,0.0009,4.287000,851.87000000,2,"<a refstr=FULTON__AMP__PETIGURA_2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..264F/abstract target=ref>Fulton &amp; Petigura 2018</a>","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>"
"K2-268 b",1.50000000,2.86000000,2.15167600000,0.0308000000,4.660000,392.1704,1136.00,,0.01750000,7.760000,0.03980000,5106.00,0.780000,0.840000,0.0300,4.580000,327.78300000,5,"<a refstr=DE_LEON_ET_AL_2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.508..195D/abstract target=ref>de Leon et al. 2021</a>","<a refstr=DE_LEON_ET_AL_2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.508..195D/abstract target=ref>de Leon et al. 2021</a>","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>"
