hostname,pl_name,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmassprov,pl_dens,pl_insol,st_mass,st_teff,discoverymethod
"Kepler-1524","Kepler-1524 b",1,70.96746030000,0.3392000000,3.54000000,1.47000000,-0.54000000,12.30000000,,,"M-R relationship",1.520000,8.4430,1.170000,6179.00,"Transit"
"Kepler-364","Kepler-364 b",2,25.74571800000,0.1780000000,1.55000000,0.37000000,-0.37000000,3.02000000,,,"M-R relationship",4.460000,68.7100,1.076000,6108.00,"Transit"
"Kepler-444","Kepler-444 f",5,9.74048600000,0.0811000000,0.74100000,0.04100000,-0.04000000,0.33200000,,,"M-R relationship",4.480000,59.9150,0.758000,5046.00,"Transit"
"Kepler-833","Kepler-833 b",1,18.75469980000,0.1139000000,2.02000000,0.12000000,-0.09000000,4.74000000,,,"M-R relationship",3.160000,8.3130,0.640000,4339.00,"Transit"
"Kepler-620","Kepler-620 b",1,12.91375431000,0.1053000000,3.32000000,1.22000000,-0.70000000,11.00000000,,,"M-R relationship",1.650000,219.0510,1.150000,6155.00,"Transit"
"TOI-2989","TOI-2989 b",1,3.12283200000,0.0384000000,12.55405838,0.56044903,-0.56044903,953.48522100,63.56568140,-63.56568140,"Mass",2.700000,124.0000,0.770000,4672.00,"Transit"
"HD 177830","HD 177830 b",2,410.10001000000,1.1400000000,13.50000000,,,537.13270000,63.56600000,-63.56600000,"Msini",1.200000,3.7258,1.700000,4901.00,"Radial Velocity"
"Kepler-147","Kepler-147 b",2,12.61058400000,0.1130000000,1.53000000,0.31000000,-0.31000000,2.96000000,,,"M-R relationship",4.540000,224.6100,1.145000,6012.00,"Transit"
"K2-107","K2-107 b",1,3.31395900000,0.0475000000,15.98000000,0.55000000,-0.55000000,266.97720000,25.42640000,-25.42640000,"Mass",0.350000,1291.4267,1.300000,6061.00,"Transit"
"TOI-1694","TOI-1694 c",2,386.25000000000,0.9740000000,13.80000000,,,316.55709337,8.58136699,-8.26353858,"Msini",0.662000,0.4016,0.828000,5005.00,"Radial Velocity"
"GJ 849","GJ 849 c",2,5990.00000000000,4.9500000000,13.80000000,,,314.65012293,34.96112477,-34.96112477,"Msini",0.658000,0.0010,0.450000,3467.00,"Radial Velocity"
"Kepler-150","Kepler-150 b",5,3.42805400000,0.0440000000,1.25000000,0.19000000,-0.19000000,2.10000000,,,"M-R relationship",5.910000,367.2620,0.956000,5560.00,"Transit"
"Kepler-62","Kepler-62 d",5,18.16406000000,0.1200000000,1.95000000,0.07000000,-0.07000000,14.00000000,,,"Mass",,17.2100,0.690000,4925.00,"Transit"
"TOI-3912","TOI-3912 b",1,3.49362640000,0.0463000000,14.28024141,0.45956821,-0.44835923,129.03833324,22.56581690,-21.61233168,"Mass",0.243000,872.2000,1.088000,5725.00,"Transit"
"Kepler-292","Kepler-292 f",5,20.83423700000,0.1410000000,2.35000000,0.22000000,-0.22000000,6.12000000,,,"M-R relationship",2.590000,24.3250,0.865000,5299.00,"Transit"
"Kepler-316","Kepler-316 c",2,6.82776600000,0.0580000000,1.16000000,0.12000000,-0.12000000,1.65000000,,,"M-R relationship",5.810000,37.3770,0.587000,4204.00,"Transit"
"Kepler-491","Kepler-491 b",1,4.22538451200,0.0519100000,8.92000000,0.80000000,-0.51000000,59.00000000,,,"M-R relationship",0.457000,312.5140,1.040000,5582.00,"Transit"
"TOI-561","TOI-561 b",4,0.44656970000,0.0106400000,1.39700000,0.02700000,-0.02700000,2.02000000,0.23000000,-0.23000000,"Mass",4.100000,4709.0000,0.806000,5342.00,"Transit"
