pl_name,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmassprov,pl_orbper,pl_dens,discoverymethod,st_teff,st_mass,st_met
"TOI-4640 b",2.84326517,0.26912040,-0.25931352,8.46000000,,,"M-R relationship",2.68566015238,2.020000,"Transit",5743.01,1.100000,
"Kepler-432 b",12.83430500,0.40352400,-0.43715100,1719.46030000,101.70560000,-57.20940000,"Mass",52.50112900000,4.460000,"Transit",4995.00,1.320000,-0.0700
"Kepler-1213 b",1.19000000,0.13000000,-0.10000000,1.81000000,,,"M-R relationship",5.34982412000,5.900000,"Transit",6050.00,1.140000,0.1300
"K2-8 c",2.41000000,0.33000000,-0.33000000,6.39000000,,,"M-R relationship",5.06416000000,2.510000,"Transit",4870.00,0.780000,-0.0200
"K2-268 d",1.49000000,0.14000000,-0.07000000,2.83000000,,,"M-R relationship",4.52859800000,4.700000,"Transit",5106.00,0.840000,0.0300
"Kepler-1655 b",2.21300000,0.08200000,-0.08200000,5.40000000,1.70000000,-1.70000000,"Mass",11.87287870000,2.720000,"Transit",6148.00,1.030000,-0.2400
"HD 191939 g",3.74000000,,,13.50000000,2.00000000,-2.00000000,"Msini",284.00000000000,1.420000,"Radial Velocity",5348.00,0.810000,-0.1500
"K2-87 b",7.60000000,0.40000000,-0.40000000,44.90000000,,,"M-R relationship",9.72661800000,0.562000,"Transit",5747.00,1.164000,0.3280
"TOI-1438 b",3.04000000,0.19000000,-0.19000000,9.40000000,1.80000000,-1.80000000,"Mass",5.13967000000,1.800000,"Transit",5230.00,0.876000,0.0300
"Kepler-849 b",8.08167508,0.30264248,-0.32506044,298.75870258,63.56568140,-63.56568140,"Mass",394.62508000000,3.090000,"Transit",5950.00,1.259000,0.1450
"Kepler-1938 b",1.82828927,,,4.00000000,,,"M-R relationship",13.06260014000,3.600000,"Transit",4522.00,0.646000,-0.2200
"K2-220 b",2.37000000,0.14000000,-0.07000000,6.21000000,,,"M-R relationship",13.68186000000,2.560000,"Transit",5612.00,0.910000,-0.0500
"TOI-1453 c",2.22400000,0.09500000,-0.09500000,2.95000000,0.83000000,-0.84000000,"Mass",6.58869820000,1.472135,"Transit",4975.00,0.715000,-0.3100
"TOI-3919 b",12.31866979,0.58286700,-0.56044903,1233.17421916,73.10053361,-73.10053361,"Mass",7.43323400000,3.630000,"Transit",6100.00,1.208000,0.1750
