source_id,random_index,parallax,parallax_error,parallax_over_error,pmra,pmdec,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,ruwe,astrometric_sigma5d_max,bp_rp
4267180339403392768,0,1.08492385925788,0.03343081474304199,32.45280838012695,2.5490278100064536,-4.07554382915321,15041.640901835031,5.685110092163086,2645.7958984375,15.244129180908203,1.0337826013565063,0.04271603375673294,1.5221281051635742
1823532754729083392,73,0.8864350549686926,0.020054122433066368,44.20213317871094,9.67564503138418,0.42511570964378276,33470.96528785906,6.409440517425537,5222.13525390625,14.375696182250977,1.0377235412597656,0.026973901316523552,0.9865865707397461
3586362911238437248,91,7.191948381963115,0.022493382915854454,319.7361755371094,80.77308417540777,31.038118561648464,47845.100820837964,22.573379516601562,2119.536376953125,13.987772941589355,1.2088606357574463,0.03568398952484131,1.8194503784179688
6068055453656132736,145,1.351778800471781,0.01846868358552456,73.19302368164062,-3.1070033273974627,1.4822692081090398,58560.050038763795,8.70193099975586,6729.54638671875,13.768362998962402,1.0124729871749878,0.021940547972917557,0.8955554962158203
4193530996087613440,151,0.8344569488397222,0.037430472671985626,22.293519973754883,-1.379799730844988,-5.23728121306655,11750.00451002155,3.2438018321990967,3622.294189453125,15.512271881103516,1.1101646423339844,0.060531917959451675,1.2201480865478516
1031890945409209984,220,1.4068782564324764,0.05745247006416321,24.487689971923828,2.4698302680705275,-3.9806875726647117,4566.778447593687,2.6446144580841064,1726.822021484375,16.538341522216797,0.9654838442802429,0.08020692318677902,1.5568981170654297
2733266472200635648,233,5.132968936353903,0.18403871357440948,27.890701293945312,10.959196590386592,-52.58012564816363,1060.0902701855027,1.904746651649475,556.5518188476562,18.12401008605957,1.062068223953247,0.34502124786376953,2.6571903228759766
5437400804010113792,310,0.86914284476504,0.032324738800525665,26.887855529785156,-11.549463953480299,10.709888010712802,7954.578190355336,3.5766055583953857,2224.05810546875,15.935824394226074,1.0186610221862793,0.0420449897646904,1.1389656066894531
4772689056567324928,329,0.468423594688542,0.012726863846182823,36.80589294433594,0.6332006088070022,-2.127306490862772,47602.451754320566,7.665948867797852,6209.5966796875,13.993293762207031,0.9719921350479126,0.02313835360109806,1.183675765991211
2926952665283004416,375,0.7127809047368231,0.023177649825811386,30.752941131591797,-9.129400046981877,6.0633690303328285,17151.216828675828,3.2718563079833984,5242.04443359375,15.101629257202148,0.979017972946167,0.025720249861478806,0.8814907073974609
2975354438442535808,528,0.8602912851036499,0.03304239362478256,26.035985946655273,12.877264871591931,5.22042352819236,9433.228926973456,2.6131157875061035,3609.954345703125,15.750716209411621,1.0556037425994873,0.039274945855140686,0.9598331451416016
527154051013641088,553,0.7039669665779311,0.018081240355968475,38.933555603027344,-3.4408371004215277,1.1945131003741578,28778.792424062805,6.118546485900879,4703.5341796875,14.539685249328613,1.0017014741897583,0.03074917569756508,1.8472843170166016
4884586595444600832,616,0.8499272467149495,0.018638569861650467,45.6004524230957,0.1017110390522503,-0.00011756872369874494,466575.9037486505,115.0633773803711,4054.947021484375,11.515061378479004,1.368053913116455,0.03114135190844536,1.1595048904418945
