source_id,nss_solution_type,period,eccentricity,a_thiele_innes,b_thiele_innes,f_thiele_innes,g_thiele_innes,parallax
5706079252076583424,Orbital,1176.674416427086,0.5046030073337885,0.12255682798334312,0.41696127361096574,-0.5908872826325999,-0.5006942271644348,1.1799837232849506
5706243349887891456,Orbital,535.8300867068295,0.41131711368753093,-0.4741144289265018,0.028779532547163457,-0.04545305675171717,0.45863710708761685,2.4578495223236403
5707348049836271360,Orbital,555.7176096297587,0.21475218465957063,0.15248150070523148,-0.3406414482850673,-0.3183333934345328,-0.12649707273930955,0.8233216772326738
1849735216301637632,Orbital,620.1644943216462,0.16130451430691242,-0.48817946674470475,-0.2825255861879425,-0.17322036508131303,0.009298482506028383,0.7283442493121928
1850055242905236480,Orbital,635.6044280981637,0.41053161592324033,0.31961365444540485,-1.8209955325026064,1.375743492943251,-1.1696386971828974,6.417326680196175
1850477902046865792,Orbital,588.3164482777512,0.17562254804196073,-0.6316012919859724,0.49390130913109453,-0.5926584305965346,-0.6819226237290615,1.280119322525979
1850695601050670464,Orbital,620.1153281091542,0.0967656400779655,-0.1395230233073426,0.5917637781478442,-0.6679090651227344,-0.13733322500297146,1.228125606121723
1850986426176036992,Orbital,507.54787531727885,0.2074172812087497,0.09004474910295625,-0.24161718714574765,0.2779559061583837,0.12935846107599605,0.8206361954433793
1851904518386301952,Orbital,851.8214127431812,0.5875190899036198,-0.37085655448273513,-0.35903159737052426,-0.12726632460038825,0.2799636050319235,0.8221433347924237
1871840107313602944,Orbital,772.2714824273562,0.18674149367899942,-0.7237319442288138,0.01984428080041959,0.021152455823068614,-0.6558860315059987,1.0512214369098358
1871890306893086208,Orbital,240.9503331089878,0.5782795960895454,0.6749097626246978,0.1106379181685769,-0.055715318412264875,0.7101510981785526,2.7006892827174402
1872008435672929152,Orbital,209.65746862769103,0.1476412978459867,0.25593919604176385,-0.22417303256272797,-0.23051069599052604,-0.11993541495967984,1.4029645662375199
1872091620599976192,Orbital,525.2569031695828,0.3696481016647794,0.12703569218618183,0.12090750071202082,-0.4434063257160006,0.007786806328911554,0.8963692707240272
1872349937115084928,Orbital,249.95865625848853,0.23469749958562638,0.09527353301777329,0.25700494870485946,0.1436066378550488,-0.24797930529957377,1.4393575448643865
1872358423970690176,Orbital,120.6154088134753,0.5848423228517037,0.7911800664496751,-0.3574176803390221,-0.40841981224019075,-0.055476228736509904,6.448515791036664
5926924683753559808,Orbital,925.3753854485658,0.16401504755042767,0.3326407239044175,0.2716221107261734,0.26698388452824934,-0.5241380600220866,0.9351013880595539
6871207328618161280,Orbital,647.3992138049058,0.00027386660270345236,0.00023475094798787433,0.5957672548761371,0.025096756430218685,-9.888907648406232e-06,0.8805376504575028
6873120169611703680,Orbital,241.07395776050276,0.2935557209532543,-1.4936455587327313,-0.508509965407117,0.23951970938775072,-1.6561663528337862,4.668769105729244
6873655185096788736,Orbital,805.5364497831563,0.4299131197427227,-0.18328804078660926,0.23705114790380316,-0.1655465572730291,-0.14726962572790586,1.0412375742161715
6659783199783716736,Orbital,548.3022876241772,0.06329895323990332,0.11156729655306569,0.0009070700495410742,0.24365768396173737,0.24767723072787248,0.7499884947823433
6660189331891659904,Orbital,784.6886186697795,0.26077736871748874,0.599230186726462,-0.057186559618147156,-1.5745448102523183,-0.8244943786641493,2.6291833306778813
3456429705177588480,Orbital,527.3496967075836,0.3434837843471707,-0.1142626039135507,0.3084134101465492,-0.225233870968301,-0.428561338545448,2.0874807232577473
3456492441764287872,Orbital,529.9449636811353,0.30782034647855777,0.06846305768869136,-0.028047548351459315,0.2622124483611122,-0.2595300543918572,1.534704183948032
4298127434168889856,Orbital,710.3421132321558,0.9182137414319546,-0.4280768933503861,0.16123036004439725,-0.03158133406882914,-0.07991887744884277,1.0534878475910117
4298576614720824448,Orbital,255.28473865023187,0.31271403205780135,-0.25040024846069714,0.3851997346145769,-0.12061773764579244,-0.58333570209822,3.478092693185175
4529224437353113088,Orbital,779.0570103534503,0.302782178557647,0.34752090311998385,0.17252017873881165,0.13654333856100287,-0.4831880151314438,0.712805012017586
4529676474073302656,Orbital,998.9781817388898,0.11315813909064006,0.17274616605303345,0.3697224776669995,-0.29100601609331433,0.16130683207912,0.5074334889071143
4529762957536595456,Orbital,475.6508866404203,0.1828839184170839,0.053994879885309405,0.2877848392123159,-0.3669894002407003,-0.03795636749401001,0.8354997547383214
4529891325520411776,Orbital,666.9235049217664,0.4659001428409482,-0.2646753080617412,0.32301524049408364,0.08123241775580287,-0.013105807259784987,0.9440547756321056
4529907818195050752,Orbital,504.34727943169617,0.1539775350222986,-0.1566969870826644,0.4371772415271178,0.18453972096554885,0.3353270889242767,1.5603085077998122
4529992686744411520,Orbital,767.2063646014952,0.7284665638250898,0.1432849403868253,0.11336044676181202,-0.5114900260725456,0.8475014998711886,1.5696174977120223
4530034743064860928,Orbital,508.8063908151365,0.1593633760238049,-0.40036968709365084,-0.011421029965005087,-0.03537584584062085,0.20132525285898145,0.8440760875427565
4530470596345320448,Orbital,840.779650793209,0.41448140237325776,0.04553838850448707,-0.2939190089744687,-0.44938977132558006,0.5385217716468806,0.7841612786348715
4135149230775445120,Orbital,611.0843294374245,0.2102213326842686,-0.5415883770695512,0.16972323186634128,0.2943539447377216,-0.41988695537431253,1.4664450435776055
5912399344860347392,Orbital,999.8922766719483,0.09727117969996762,-0.35264452525699386,1.1942444364619298,1.2749007705757447,-0.06117109345963772,1.5703236416528543
