source_id,random_index,teff_gspphot,lum_flame,radius_flame,mass_flame
1823532754729083392,73,5676.5673828125,2.167651891708374,1.5301456451416016,1.0083118677139282
1031890945409209984,220,4490.08251953125,0.1538771688938141,0.6440005302429199,0.7248634696006775
5437400804010113792,310,5107.43505859375,0.5080485343933105,0.9072192907333374,0.8094152808189392
4772689056567324928,329,4783.32568359375,9.1959228515625,4.401638984680176,1.1004284620285034
2926952665283004416,375,5787.115234375,1.48064386844635,1.2090874910354614,0.988770067691803
2975354438442535808,528,5213.19482421875,0.5149223804473877,0.874211847782135,0.8479089736938477
527154051013641088,553,6761.07373046875,19.43193244934082,3.2217423915863037,1.8890920877456665
5626341152706427904,670,3727.93115234375,0.07286486029624939,0.6455596089363098,0.5903578400611877
5571765557325147776,760,5935.79638671875,1.3143138885498047,1.08576500415802,1.0514408349990845
2031706040022048768,823,6002.0791015625,2.0114192962646484,1.3114186525344849,1.1057039499282837
6093163317072732160,1138,5312.123046875,0.564333438873291,0.8844988346099854,0.8572572469711304
2047639612750143104,1175,4958.16064453125,26.867158889770508,7.161477088928223,2.502626657485962
2115564348706678144,1192,5316.39404296875,0.616961658000946,0.9259016513824463,0.8466352820396423
5609322916029888000,1201,7057.39208984375,5.27911376953125,1.5127735137939453,1.4704735279083252
5853519840059113600,1221,4312.5478515625,0.14027206599712372,0.6750007271766663,0.6795400977134705
5916280792717126528,1589,6228.7880859375,5.802282810211182,2.073744773864746,1.421427845954895
5960983014177620480,1607,5087.5185546875,2.00750470161438,1.81673002243042,0.9599788784980774
2538816539454218112,1617,6027.97412109375,2.4971859455108643,1.4489288330078125,1.165171504020691
1816579752413057920,1618,4834.5302734375,0.2429920732975006,0.7013243436813354,0.7984134554862976
4391733738110664576,1722,4679.58935546875,32.2174072265625,8.688254356384277,2.702934980392456
262770810751939200,1725,4855.4951171875,7.963973522186279,3.981625556945801,1.1816121339797974
4469629532735741568,1737,4445.5048828125,0.179597869515419,0.7154409885406494,0.7065194845199585
5616287738079589376,1840,4462.53759765625,0.14616712927818298,0.6398943662643433,0.7172908782958984
1805324945228250112,1853,5695.88037109375,1.2035681009292603,1.2539364099502563,0.9088286757469177
5871798847258673920,1854,3844.32666015625,0.047252755612134933,0.4925719201564789,0.5547055602073669
4265185447405107072,1928,6096.76220703125,28.95305061340332,4.47751522064209,2.014039993286133
4538304273096214016,1956,5709.2890625,1.2257888317108154,1.1401938199996948,0.9470083117485046
464588472137808000,1970,5467.00048828125,14.92747688293457,4.307834148406982,1.8002736568450928
6638077672020816000,1982,5898.22314453125,1.7531301975250244,1.2700332403182983,1.0568307638168335
2048719504952281728,2064,5877.8427734375,1.1188020706176758,1.006507396697998,1.077096700668335
957326907241552384,2148,4404.76806640625,0.1234922707080841,0.6039616465568542,0.7037259340286255
5236880909969540864,2153,5677.75439453125,3.7162723541259766,2.0864930152893066,1.1788047552108765
1999891877185927808,2419,6702.91796875,9.165224075317383,1.8143330812454224,1.6402432918548584
5444217673019033728,2486,4845.0146484375,14.6488037109375,5.47698450088501,1.4038200378417969
6726015821780357760,2521,5424.03564453125,1.290048599243164,1.294811487197876,0.9408342242240906
6632405325891680512,2558,5353.8779296875,0.7102230191230774,1.0073121786117554,0.860062301158905
6772922877565227520,2635,6293.02685546875,2.352430820465088,1.309651255607605,1.1822245121002197
2239692854931637888,2698,5984.6640625,1.9242829084396362,1.2902379035949707,1.092271327972412
5251540423619948032,2755,5314.70166015625,2.0629146099090576,1.6922541856765747,0.9726139903068542
6885384053585030400,2811,5226.59423828125,0.4953541159629822,0.8584892153739929,0.8353028893470764
4273488031413578624,2875,6742.740234375,8.83513355255127,2.1776845455169678,1.5835014581680298
4572107967812339840,2912,5404.6083984375,1.7497546672821045,1.511369228363037,0.9426875710487366
1065122928444442752,2965,6006.0146484375,1.3342089653015137,1.061610460281372,1.1014856100082397
4191750096486498560,3017,5377.57568359375,1.2763986587524414,1.3197907209396362,0.9139009118080139
4089332684363438976,3142,5518.6123046875,4.009918212890625,2.186534881591797,1.218050241470337
5901263113155908736,3170,4300.46435546875,0.13596202433109283,0.6641830801963806,0.6812556385993958
2055701060198641536,3308,4251.29443359375,0.1651621311903,0.749156653881073,0.6896235346794128
4102899146038850432,3311,6002.53076171875,3.607337236404419,1.7572489976882935,1.1753582954406738
6873519635930161024,3442,3753.38671875,0.0413530133664608,0.48505714535713196,0.520145833492279
1986688494875924224,3462,4779.49853515625,0.32183638215065,0.8168505430221558,0.7693496346473694
5872338810507027968,3478,6166.1865234375,1.4112310409545898,1.0405939817428589,1.1490119695663452
