source_id,random_index,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_rp_mean_mag,phot_rp_mean_flux,bp_rp,parallax,parallax_error
4267180339403392768,0,15.244129180908203,15041.640901835031,5.685110092163086,15.942070960998535,5735.729456468324,14.419942855834961,13526.368321828195,1.5221281051635742,1.08492385925788,0.03343081474304199
1823532754729083392,73,14.375696182250977,33470.96528785906,6.409440517425537,14.782261848449707,16692.14748496441,13.795675277709961,24037.438411960993,0.9865865707397461,0.8864350549686926,0.020054122433066368
3586362911238437248,91,13.987772941589355,47845.100820837964,22.573379516601562,14.809981346130371,16271.381477133462,12.990530967712402,50459.85276928809,1.8194503784179688,7.191948381963115,0.022493382915854454
6068055453656132736,145,13.768362998962402,58560.050038763795,8.70193099975586,14.130507469177246,30423.82154705331,13.234951972961426,40288.163833871826,0.8955554962158203,1.351778800471781,0.01846868358552456
4193530996087613440,151,15.512271881103516,11750.00451002155,3.2438018321990967,16.043184280395508,5225.681966426818,14.823036193847656,9331.336870641659,1.2201480865478516,0.8344569488397222,0.037430472671985626
1031890945409209984,220,16.538341522216797,4566.778447593687,2.6446144580841064,17.27158546447754,1685.7081123003768,15.71468734741211,4104.717204574186,1.5568981170654297,1.4068782564324764,0.05745247006416321
2733266472200635648,233,18.12401008605957,1060.0902701855027,1.904746651649475,19.549137115478516,206.9007292754256,16.89194679260254,1387.9691635453282,2.6571903228759766,5.132968936353903,0.18403871357440948
5437400804010113792,310,15.935824394226074,7954.578190355336,3.5766055583953857,16.42552947998047,3674.5547089854413,15.286563873291016,6088.812683690666,1.1389656066894531,0.86914284476504,0.032324738800525665
4772689056567324928,329,13.993293762207031,47602.451754320566,7.665948867797852,14.509560585021973,21458.16127867982,13.325884819030762,37051.354952046444,1.183675765991211,0.468423594688542,0.012726863846182823
2926952665283004416,375,15.101629257202148,17151.216828675828,3.2718563079833984,15.454167366027832,8989.7977849647,14.572676658630371,11751.34110906214,0.8814907073974609,0.7127809047368231,0.023177649825811386
2975354438442535808,528,15.750716209411621,9433.228926973456,2.6131157875061035,16.1439266204834,4762.62436045317,15.184093475341797,6691.456483487844,0.9598331451416016,0.8602912851036499,0.03304239362478256
527154051013641088,553,14.539685249328613,28778.792424062805,6.118546485900879,15.444541931152344,9069.851942958812,13.597257614135742,28857.27231334947,1.8472843170166016,0.7039669665779311,0.018081240355968475
4884586595444600832,616,11.515061378479004,466575.9037486505,115.0633773803711,12.020891189575195,212353.99253678863,10.8613862991333,358594.6796878838,1.1595048904418945,0.8499272467149495,0.018638569861650467
5626341152706427904,670,17.29433250427246,2276.216905613599,1.5923372507095337,18.19660186767578,719.0788149784536,16.3624210357666,2260.4224003686368,1.8341808319091797,1.4331668104379978,0.06521908938884735
3536748204950932992,693,14.071029663085938,44313.38899547504,8.055791854858398,14.420039176940918,23302.423962401757,13.556011199951172,29974.61408518618,0.8640279769897461,0.9598219513660133,0.020179251208901405
192355921445905536,698,13.168217658996582,101779.38697561501,29.01222801208496,13.6209077835083,48646.73752527677,12.545146942138672,76050.03024641184,1.075760841369629,0.7176138866305553,0.013188906945288181
5571765557325147776,760,14.125519752502441,42144.31322164497,8.346935272216797,14.443882942199707,22796.258727674172,13.639884948730469,27746.25433150938,0.8039979934692383,1.1762754703109155,0.013546104542911053
2499641245098603648,766,14.687146186828613,25123.97528010663,7.430150985717773,15.298927307128906,10371.606513833925,13.930087089538574,21238.482571311575,1.368840217590332,2.098505613587236,0.025418801233172417
2031706040022048768,823,14.680074691772461,25288.139282538057,4.850377082824707,15.063191413879395,12886.663946941499,14.126582145690918,17722.50729834373,0.9366092681884766,0.8127275755467969,0.019602781161665916
5214925720023958912,886,17.95010757446289,1244.2392744414494,1.5397627353668213,19.4365291595459,229.5119245392088,16.751094818115234,1580.2304656319766,2.685434341430664,2.347003987153875,0.08505009859800339
6511230039178478848,928,17.788867950439453,1443.4426682187116,1.6354209184646606,19.338088989257812,251.2936059774647,16.609949111938477,1799.6098802314552,2.728139877319336,2.620485100571263,0.10477332770824432
5818054650140192896,936,12.72518253326416,153064.29721537523,19.797754287719727,13.541010856628418,52361.55588052756,11.84487533569336,144946.652752311,1.6961355209350586,0.2962272354219435,0.011801449581980705
977248962720425728,1054,17.078428268432617,2776.9984772784514,3.122952699661255,18.286781311035156,661.7658908834716,16.009387969970703,3128.9834755072648,2.277393341064453,2.7224349143486357,0.08579936623573303
