source_id,random_index,ra,dec,parallax,pmra,pmdec,radial_velocity,bp_rp
3586362911238437248,91,171.80987737943448,-12.086809574893953,7.191948381963115,80.77308417540777,31.038118561648464,0.07913120090961456,1.8194503784179688
2538816539454218112,1617,18.466531809347487,2.87878976386266,5.08382985708441,76.83054055120988,-11.105692960463237,24.974973678588867,0.7048606872558594
1099432432875401728,2675,104.92701163632249,63.24594185254482,5.881378619821566,-12.021013647907584,12.878513185859322,-19.423810958862305,2.029965400695801
703532655452238592,3715,129.9709255450639,27.631570971904303,7.513264990316233,-4.753118771321455,-7.496507650347014,-56.61027908325195,0.8489904403686523
3075955904089799552,6397,132.10459270933268,2.271051596123523,12.599344304105063,4.013977357436915,66.10200703095197,35.98448181152344,1.286172866821289
3346749709456338560,7130,88.83105887052048,13.548943405272674,8.529614872196044,30.145566649225604,-41.55845921307802,79.8050308227539,2.31527042388916
5927744094804268288,14768,251.09760693925082,-56.960100359866715,11.304311485078195,-35.37191646771424,-99.37431063079273,6.397059440612793,1.831014633178711
142992109964443776,18639,43.713871563099616,37.330280998718095,7.1302912455406435,40.560642638356576,-22.1767273095045,23.4621639251709,1.9951181411743164
2295656313156693120,19980,288.80635322472193,82.02811681297106,8.571521114358683,-43.16471331705408,-42.94664586126856,-33.7236213684082,2.5393104553222656
6177123876091495808,20655,208.15924734946788,-28.266515194327283,5.692569543793453,-38.379772554293616,-8.893918362168927,-3.3087363243103027,0.9375848770141602
1575553540733945088,20980,180.09382634969643,58.00683058846344,5.700318018602941,-6.762025711046858,23.036157857775287,-9.65973949432373,1.2767839431762695
5910768975275094784,31002,261.153898420287,-62.16252591686126,9.406786680661769,52.694229878162986,-24.775180902413073,-8.642520904541016,2.1408138275146484
2916442949023646464,33091,89.08891529461751,-23.375564356338113,6.174716638660832,-8.946122922229451,-30.243138720876235,20.539615631103516,0.7176313400268555
486087738386602624,34783,89.75122195274709,71.33384612083127,6.786864259555966,4.111420622304124,-35.19984315557679,-1.021500587463379,0.5152149200439453
