source_id,random_index,ra,dec,l,b,parallax,pmra,pmdec
4267180339403392768,0,286.7169128963743,0.27619460064099405,34.939057681080605,-3.306331530100472,1.08492385925788,2.5490278100064536,-4.07554382915321
4517539583701880064,72,284.02566215626837,18.40303868983636,49.917507783796495,7.282797632717912,0.6749624284776883,2.1007943426494666,-7.108342304235813
1823532754729083392,73,300.80580445460237,20.601006060054676,59.46660817965974,-5.523316104654085,0.8864350549686926,9.67564503138418,0.42511570964378276
2128624652762622080,119,294.2962728879645,47.56515893088721,80.27799901038358,12.559967468072431,1.1244227837856247,-1.4024110051377052,-21.29487653121924
6068055453656132736,145,198.6858034678276,-54.101027866449975,306.3833460547036,8.614469707804133,1.351778800471781,-3.1070033273974627,1.4822692081090398
6036549635168824576,182,242.2336541618661,-32.28238489501568,344.3897189475353,14.26310276841503,0.6215065989080742,-4.849900553528013,-6.632789887244171
5437400804010113792,310,142.01244373573746,-35.397103471283145,262.8143423633723,11.18274716691109,0.86914284476504,-11.549463953480299,10.709888010712802
3124644890311334144,327,94.7484908526303,2.824974053478234,206.69166866674232,-5.908701115744001,0.6379025773565447,-2.9640821948366756,3.581674044300325
3397236392886442368,333,82.48098575410305,17.160094794184754,188.10898218352673,-9.298685178828753,0.8689226120914416,-0.10262585866127677,0.11811290634633541
2926952665283004416,375,101.94364564330127,-20.757860406630318,231.19893500120193,-10.073496704932365,0.7127809047368231,-9.129400046981877,6.0633690303328285
2004338886330214400,414,333.2815992985356,52.928092991516465,100.31638342406322,-2.8483178806785743,0.5191811976399111,0.844923271400036,-2.8249003621387923
5976989674412956032,459,258.2131509745791,-36.173389388313595,350.15769486902263,1.745537096222015,1.6861488004037712,-3.8816432133790473,-9.17625028882172
527154051013641088,553,8.303528461347085,64.99524224350532,121.00640689713325,2.1916467411946234,0.7039669665779311,-3.4408371004215277,1.1945131003741578
5626341152706427904,670,131.0922837225454,-35.73894355839644,257.11111073988343,4.32386956921224,1.4331668104379978,-5.2817426254990245,42.17584704606176
192355921445905536,698,88.21252248240071,42.01939115356841,169.4609056518257,7.9343114383959135,0.7176138866305553,1.3715668215185648,-7.318927406069955
5545767879774905472,783,121.69150180044136,-34.712509451440674,251.83299910015594,-1.347228450495333,0.5392775089525077,-9.34794253380079,9.6409032658948
1870783717167600384,799,311.9228164353767,36.67330833302605,78.26281350324948,-4.267838305019178,0.6283087998299657,-4.038689565765187,-2.911772016480024
2031706040022048768,823,296.54230608580343,28.931084560877768,64.61940115324884,2.082269022192315,0.8127275755467969,2.0290883807434583,-0.38553087457519364
2173583653173119104,839,327.8354126952258,53.46525595059092,98.02543763692258,-0.4641014147367781,0.5041103035850572,-7.641609370259694,-3.9945678482498836
5428193184404215936,885,136.62456254233598,-41.888983141047554,264.6060844755939,3.656717823341875,0.808963243737179,0.2846200673264532,3.867213026612941
5961764251554263424,898,262.7401662266732,-39.1982127428026,349.7027977760402,-2.9199458869443826,0.7269854411730146,-0.9352643300194955,0.7059021058527056
2166420334926591104,1017,313.3094230397397,46.61693886838032,86.6135167384156,1.237493058596869,0.5488841150967433,-2.3892056574256895,-3.0125053250510128
1984976692708799744,1031,341.72714056126034,47.01544722199127,101.9083849995409,-10.709659054711901,0.6178534013294716,9.718939631037411,0.17854486600858085
5858626904060865408,1092,197.17999911089436,-66.21937970242442,304.67580679210056,-3.4061641415420714,0.9947110786578692,-17.307259270778907,-3.0559757413429547
6093163317072732160,1138,214.56406175081705,-46.730798850622485,318.0478305529095,13.577037489772685,1.0904943240739386,-16.161577256887995,-11.02828813149536
4468027131980713088,1191,269.9570192173236,1.692274449141329,28.501515143822704,12.245821170057607,1.1763434430904132,-9.16743452339971,5.91592123616076
5853519840059113600,1221,217.62844680470852,-62.60504730498418,314.05270028851663,-1.8921113136442234,1.609383966125293,-19.62903893283134,-10.014835745354823
5615887099229615744,1276,115.74252291743535,-22.802569532676927,238.94974079926823,0.35552950192462424,1.8498588151018018,-1.0874346120828755,3.6355961779645103
457984392985493376,1295,37.65656260981406,57.07945504356105,136.1288817632861,-3.228952623583746,0.57112245299067,2.3900601306541884,-3.424347961013517
3455064622835231232,1357,89.0773192149676,35.90214832881301,175.14747542783596,5.48858719584818,0.7999255288654363,4.453452794824591,-7.38018975621533
5900113127080151936,1371,224.35541636608798,-52.48318135274426,321.5815412800476,5.766483583535445,0.5305326534058037,-4.06792317275682,-3.6997420757242763
5334575606155053696,1405,179.31175896984487,-62.670355791995085,296.7577001066739,-0.4500227805595727,1.9561807656234134,-15.416531845518147,-1.974965442577175
5789246380322980864,1441,196.49172765846365,-76.50720495237672,303.8035265980532,-13.660049204423627,0.5038255411809875,-11.704839266625944,1.0504353183097908
272068143639210368,1472,66.99886700192657,52.39814014628979,152.59971985576954,2.472403607639692,0.8845743013444787,-1.045719168400641,-2.1150802397025106
4067732980234837120,1567,267.79787166720075,-24.10264092523583,4.783762756394226,1.4265630103395115,0.6042536788179229,-0.7982324927861177,-4.934770117092515
5916280792717126528,1589,260.30417970118475,-57.28145693182619,333.5536888112741,-11.485320139217139,0.9726774506863797,-1.1983144336066405,-3.789871979848973
5960983014177620480,1607,264.9835464607232,-39.46261670889873,350.4139812465285,-4.5253309338924765,0.7013840278619491,0.5151450239871926,-3.349735836193003
1816579752413057920,1618,305.018794382951,20.067355672369153,61.156553503640716,-9.140132152514877,1.3591953511396322,-2.241346681682331,-11.75321641787966
469987727065178496,1686,60.30745873885681,58.36263657273711,145.72662853848777,4.158508012947787,0.7653258153064326,0.5541379350762532,3.8442077103411236
5320161872003827840,1703,120.7726560859664,-54.9365855043643,268.8867313425888,-12.47257716612863,0.5526790382394161,-1.1851758459691095,6.662333833219331
4513953698352049024,1709,286.0384815437073,16.913044611077158,49.43981060087628,4.901024032441475,0.5082447724675385,-1.436653117491371,-3.394395517056033
5639331848225294848,1716,131.64756215673904,-32.377315843251374,254.7428188282743,6.764452084119019,1.142936673707194,-10.925739969254648,5.846810140563363
4469629532735741568,1737,268.7622065285102,3.4790647124869114,29.571118701694054,14.125386573027445,1.2911018577612847,-9.425642780525564,-6.711208094167386
3325356992751464960,1799,95.92514898720111,7.468342679301117,203.11767908156017,-2.709392632122458,0.5392616520355173,1.5441595719051737,-1.7975101008013408
5559796887925025152,1808,108.08954927833604,-43.95045200646789,255.0231502578126,-14.955131263722565,1.7836327876754572,-5.524168634750972,2.445024415102673
5616287738079589376,1840,109.14769666136036,-26.13146465196674,239.013473030703,-6.506361860972993,1.2621103506691875,-5.217563379663676,-13.986389742526246
