source_id,random_index,flags_flame
1823532754729083392,73,00
1031890945409209984,220,00
5437400804010113792,310,00
4772689056567324928,329,10
2926952665283004416,375,00
2975354438442535808,528,00
527154051013641088,553,00
5626341152706427904,670,00
5571765557325147776,760,00
2031706040022048768,823,00
6093163317072732160,1138,00
2047639612750143104,1175,10
2115564348706678144,1192,00
5609322916029888000,1201,00
5853519840059113600,1221,00
5916280792717126528,1589,00
5960983014177620480,1607,00
2538816539454218112,1617,00
1816579752413057920,1618,00
4391733738110664576,1722,10
262770810751939200,1725,10
4469629532735741568,1737,00
5616287738079589376,1840,00
1805324945228250112,1853,00
5871798847258673920,1854,00
4265185447405107072,1928,00
4538304273096214016,1956,00
464588472137808000,1970,00
6638077672020816000,1982,00
2048719504952281728,2064,00
957326907241552384,2148,00
5236880909969540864,2153,00
1999891877185927808,2419,00
5444217673019033728,2486,10
6726015821780357760,2521,00
6632405325891680512,2558,00
6772922877565227520,2635,00
2239692854931637888,2698,00
5251540423619948032,2755,00
6885384053585030400,2811,00
4273488031413578624,2875,00
4572107967812339840,2912,00
1065122928444442752,2965,00
4191750096486498560,3017,00
4089332684363438976,3142,00
5901263113155908736,3170,00
2055701060198641536,3308,00
4102899146038850432,3311,00
6873519635930161024,3442,00
1986688494875924224,3462,00
5872338810507027968,3478,00
1622538593166338432,3598,00
703532655452238592,3715,00
5540250874024089856,3751,00
542552436476985600,3914,00
1820334893877862912,3940,00
5355511720621464832,4108,00
4522101697950855040,4311,00
2820891986953844608,4379,00
1807379039124867968,4476,00
2649310513083146368,4538,00
5388733086468322176,4571,10
5554448141812497152,4599,00
2034379502533178496,4639,00
545845370721163264,4645,00
2811823318125725952,4652,10
1929594223296326400,4871,00
436629334549516800,4877,10
3170417177120474496,4917,00
5933584116521289088,5050,00
2656545613126673536,5111,00
3382026852837258880,5210,00
6872010968540356480,5250,00
5322428205988761216,5292,00
1076862001777410304,5321,00
4832937827003624960,5421,00
435874794696430336,5550,00
5885076618356567040,5621,00
4755805883734326656,5757,00
4539479818524675712,5879,00
2010147503175841280,5921,00
2202403158603348224,5948,00
3607931309286941568,6004,00
2713558967519127040,6020,00
286684600242041088,6036,00
372001724691739520,6071,00
4204466253400093440,6157,00
5253789371599123840,6173,10
2214546508611118848,6251,00
3563584393270893184,6308,00
6884587182532681600,6323,00
6709131824261449984,6349,00
3075955904089799552,6397,00
4823917158731790592,6405,00
3119593699533132544,6412,00
4678224446347537152,6433,00
2247641568087027328,6443,00
920236570401536384,6501,00
2001218300530051072,6629,10
1554206453762990720,6638,00
6396246171162733312,6641,00
3115782448634936576,6648,10
6511439736661927296,6736,00
2285141752180512512,6778,00
3344142767387210496,6831,00
3163183975454106496,6862,10
5862142072798275200,6927,10
579798805181537152,6933,00
