surface,species,dE_star,n_sites
Ag3Pb9,S1,-332.849022942326,5
Ag3Pd9,C1,-156.6419766577892,7
Ag3Pd9,C1H1,-173.73223051489185,9
Ag3Pd9,C1H2,-190.29293247428723,9
Ag3Pd9,C1H3,-207.60061426823086,9
Ag3Pd9,H1,-16.750056183613196,8
Ag3Pd9,H1N1,-292.9014945345916,9
Ag3Pd9,H1O1,-459.56000050521106,36
Ag3Pd9,H1S1,-349.8540474797992,9
Ag3Pd9,H2O1,-476.8383148212888,9
Ag3Pd9,N1,-275.7144745474361,7
Ag3Pd9,O1,-442.3081323888764,7
Ag3Pd9,S1,-333.792718224664,6
Ag3Pt9,C1,-157.3634183364702,8
Ag3Pt9,C1H1,-174.54196320205665,9
Ag3Pt9,C1H2,-190.80636013043113,9
Ag3Pt9,C1H3,-207.95164846716943,9
Ag3Pt9,H1,-16.761393398533983,9
Ag3Pt9,H1N1,-293.34860845642106,9
Ag3Pt9,H1O1,-459.606147338709,36
Ag3Pt9,H1S1,-350.06343594933423,9
Ag3Pt9,H2O1,-476.818892968171,9
Ag3Pt9,N1,-276.28121297810867,9
Ag3Pt9,O1,-442.4298580247196,8
Ag3Pt9,S1,-334.2589033809345,9
Ag3Re9,C1,-158.06488427431032,7
Ag3Re9,H1,-17.127948970824946,7
Ag3Re9,H1O1,-461.16825968743797,36
Ag3Re9,N1,-278.39133293748455,7
Ag3Re9,O1,-445.29281153154443,7
Ag3Re9,S1,-335.4860667239627,7
Ag3Rh9,C1,-157.84097472188296,7
Ag3Rh9,C1H1,-174.86682209057471,9
Ag3Rh9,C1H2,-191.09699254031148,9
Ag3Rh9,C1H3,-207.76766182447318,9
Ag3Rh9,H1,-16.90974591770646,7
Ag3Rh9,H1N1,-294.15187816780235,9
Ag3Rh9,H1O1,-459.92924034445605,36
Ag3Rh9,H1S1,-351.1349231013155,9
Ag3Rh9,H2O1,-476.8786522964365,9
Ag3Rh9,N1,-277.40576749879256,7
Ag3Rh9,O1,-443.5880028218744,7
Ag3Rh9,S1,-334.84968374952587,7
Ag3Ru9,C1,-158.05442095299077,7
Ag3Ru9,C1H1,-175.17244375521113,9
Ag3Ru9,C1H2,-191.49874508524954,6
Ag3Ru9,C1H3,-208.04912427011004,4
Ag3Ru9,H1,-16.889446225352003,7
Ag3Ru9,H1N1,-294.9151777577208,9
Ag3Ru9,H1O1,-460.5897538298741,54
Ag3Ru9,H1S1,-351.4419181244957,9
Ag3Ru9,H2O1,-476.8684794566507,9
Ag3Ru9,N1,-278.0355771552713,7
Ag3Ru9,O1,-444.6076256204542,7
Ag3Ru9,S1,-335.239219607618,7
Ag3Sc9,C1,-157.71504098158402,7
Ag3Sc9,H1,-17.628786055713135,7
Ag3Sc9,N1,-279.8347855569955,7
Ag3Sc9,O1,-447.78412719591506,7
Ag3Sc9,S1,-336.1251637618079,7
Ag3Sn9,C1,-154.73941343365004,7
Ag3Sn9,C1H1,-172.19562257991856,9
Ag3Sn9,C1H2,-189.6322817074506,9
Ag3Sn9,C1H3,-207.419892583428,8
Ag3Sn9,H1,-15.762809353520424,7
Ag3Sn9,H1N1,-292.59641383227427,9
Ag3Sn9,H1S1,-349.2561131023249,9
Ag3Sn9,H2O1,-476.76371685328195,9
Ag3Sn9,N1,-275.2531848551844,7
Ag3Sn9,O1,-443.0453822489071,7
Ag3Sn9,S1,-332.90433661076895,7
Ag3Ta9,C1,-158.60572236559165,7
Ag3Ta9,H1,-17.49626389515106,7
Ag3Ta9,N1,-279.8260462128965,7
Ag3Ta9,O1,-446.798459034253,7
Ag3Ta9,S1,-335.71936692495365,7
Ag3Tc9,C1,-157.8751365734788,7
Ag3Tc9,H1,-17.12050026266661,7
Ag3Tc9,H1O1,-461.36091900635074,16
Ag3Tc9,N1,-278.2217211164825,6
Ag3Tc9,O1,-445.1788441333629,7
Ag3Tc9,S1,-335.35701265426906,7
Ag3Ti9,C1,-157.99601647951204,4
Ag3Ti9,H1,-17.573060951152,3
Ag3Ti9,N1,-279.75675732193486,3
Ag3Ti9,O1,-447.4075809640344,3
Ag3Ti9,S1,-335.83514646525146,3
Ag3Tl9,C1,-154.10062837431542,7
Ag3Tl9,H1,-15.815990601859085,7
Ag3Tl9,N1,-274.51159804480267,7
Ag3Tl9,O1,-442.7169203010526,7
Ag3Tl9,S1,-332.89588910876046,7
Ag3V9,C1,-158.18788898125786,5
Ag3V9,H1,-17.509474205679,6
Ag3V9,N1,-279.4961782528444,6
Ag3V9,O1,-446.72561905769544,5
Ag3V9,S1,-335.5298726981637,4
Ag3W9,C1,-158.21610011136727,8
Ag3W9,H1,-17.50776288174893,10
Ag3W9,N1,-279.0822292935518,9
Ag3W9,O1,-446.0288268110926,9
Ag3W9,S1,-335.5678542117057,9
Ag3Y9,C1,-157.43232395509403,6
Ag3Y9,H1,-17.542311679211707,5
Ag3Y9,N1,-279.54615400016337,5
Ag3Y9,O1,-447.5668761330671,5
Ag3Y9,S1,-336.12680868996176,5
Ag3Zn9,C1,-154.57338752881333,5
Ag3Zn9,H1,-15.930075145050068,4
Ag3Zn9,H1O1,-460.2212934607087,18
Ag3Zn9,N1,-275.49939522513887,3
Ag3Zn9,O1,-443.564350823086,4
Ag3Zn9,S1,-333.4236401570961,3
Ag3Zr9,C1,-157.9762641441339,5
Ag3Zr9,H1,-17.497939708224294,5
Ag3Zr9,N1,-279.6766355790496,5
Ag3Zr9,O1,-447.26331450625,5
Ag3Zr9,S1,-335.81936359049723,5
Ag6Al6,C1,-155.5581317279357,10
Ag6Al6,C1H1,-173.57212458267531,10
Ag6Al6,C1H2,-189.91534976079492,10
Ag6Al6,C1H3,-207.75263270505093,10
Ag6Al6,H1,-16.102357627325546,9
Ag6Al6,H1N1,-294.35489794900786,10
Ag6Al6,H1S1,-349.59304241648715,10
Ag6Al6,H2O1,-476.8509067531122,10
Ag6Al6,N1,-276.88580489276137,9
Ag6Al6,O1,-445.06513551542594,10
Ag6Al6,S1,-333.8636227915449,10
Ag6Au6,C1,-154.12649034564674,14
Ag6Au6,C1H1,-172.12565381252352,10
Ag6Au6,C1H2,-189.1981632622701,10
Ag6Au6,C1H3,-207.21980782208993,10
Ag6Au6,H1,-16.13925571962318,14
Ag6Au6,H1N1,-291.87914406690834,10
Ag6Au6,H1O1,-459.263492341197,58
Ag6Au6,H1S1,-349.1426745573772,10
Ag6Au6,H2O1,-476.8264860327181,10
Ag6Au6,N1,-273.98714515225583,14
Ag6Au6,O1,-441.535446232112,14
Ag6Au6,S1,-332.7299290554729,14
Ag6Bi6,C1,-154.4777044118382,10
Ag6Bi6,C1H1,-172.02912755081343,10
Ag6Bi6,C1H2,-189.42659412217472,9
Ag6Bi6,C1H3,-207.4360485262514,10
Ag6Bi6,H1,-15.9059397360179,12
Ag6Bi6,H1N1,-292.21989467571257,10
Ag6Bi6,H1O1,-459.85031086836534,60
Ag6Bi6,H1S1,-349.34883330775483,10
Ag6Bi6,H2O1,-476.7856852837431,10
Ag6Bi6,N1,-274.8735774786692,10
Ag6Bi6,O1,-442.42568733591906,10
Ag6Bi6,S1,-332.8703744907252,10
Ag6Cd6,C1,-153.5784781090697,10
Ag6Cd6,H1,-15.940881465874554,10
