surface,species,dE_star,n_sites
Bi6Ru6,H1O1,-459.9368448378009,58
Bi6Ru6,H1S1,-349.8427868649196,10
Bi6Ru6,H2O1,-476.7808687327488,10
Bi6Ru6,N1,-276.32608740729484,8
Bi6Ru6,O1,-442.7492198055261,8
Bi6Ru6,S1,-333.46904493614056,8
Bi6Sc6,C1,-156.81044941026266,4
Bi6Sc6,H1,-16.767465482786065,4
Bi6Sc6,N1,-277.8744499798231,4
Bi6Sc6,O1,-446.01949766024336,4
Bi6Sc6,S1,-334.6052515074589,4
Bi6Sn6,C1,-155.29111961558374,4
Bi6Sn6,C1H1,-172.56438077767598,10
Bi6Sn6,C1H2,-189.793997737248,10
Bi6Sn6,C1H3,-207.68563773374262,10
Bi6Sn6,H1,-15.882202429533208,4
Bi6Sn6,H1N1,-292.8890952593647,10
Bi6Sn6,H1S1,-349.3914144975788,10
Bi6Sn6,H2O1,-476.84667837617235,10
Bi6Sn6,N1,-275.7041110918908,4
Bi6Sn6,O1,-443.36569370700454,4
Bi6Sn6,S1,-332.9893238851364,4
Bi6Ta6,C1,-157.24405464874508,4
Bi6Ta6,H1,-17.023282831814868,4
Bi6Ta6,N1,-278.0138509061144,4
Bi6Ta6,O1,-445.3151035053852,4
Bi6Ta6,S1,-334.5074473991699,4
Bi6Tc6,C1,-156.86778855806187,4
Bi6Tc6,H1,-16.76940415783247,4
Bi6Tc6,H1O1,-460.3840243390696,14
Bi6Tc6,N1,-276.94218116574484,4
Bi6Tc6,O1,-443.7895346846162,4
Bi6Tc6,S1,-333.8515190319449,4
Bi6Ti6,C1,-157.01975488507742,4
Bi6Ti6,H1,-16.605343731251196,4
Bi6Ti6,N1,-277.9225776660096,4
Bi6Ti6,O1,-445.44759586948203,4
Bi6Ti6,S1,-334.3278039654506,4
Bi6Tl6,C1,-154.20180859899847,8
Bi6Tl6,H1,-15.970067715927144,7
Bi6Tl6,N1,-274.8018799720667,8
Bi6Tl6,O1,-442.92797084191625,8
Bi6Tl6,S1,-332.73649176098115,7
Bi6V6,C1,-157.02078510807405,4
Bi6V6,H1,-16.930575959955604,4
Bi6V6,N1,-277.85704829984024,4
Bi6V6,O1,-445.20958442554183,4
Bi6V6,S1,-334.42282190014885,4
Bi6W6,C1,-158.85901232128526,4
Bi6W6,H1,-18.099428708774212,4
Bi6W6,N1,-278.11852806573734,4
Bi6W6,O1,-445.44380858907243,4
Bi6W6,S1,-335.37983007992443,4
Bi6Y6,C1,-156.8984840875164,8
Bi6Y6,H1,-16.76072059706712,7
Bi6Y6,N1,-277.67026364659614,8
Bi6Y6,O1,-446.00244632682734,8
Bi6Y6,S1,-334.7273710280824,8
Bi6Zn6,C1,-155.21994674445887,4
Bi6Zn6,H1,-16.22028877174307,4
Bi6Zn6,H1O1,-460.44172934391827,20
Bi6Zn6,N1,-275.6151999359645,4
Bi6Zn6,O1,-443.5622045251803,4
Bi6Zn6,S1,-333.50674277100916,4
Bi6Zr6,C1,-156.87897420557056,4
Bi6Zr6,H1,-16.606262659686763,4
Bi6Zr6,N1,-277.88022233068114,4
Bi6Zr6,O1,-445.4337524861112,4
Bi6Zr6,S1,-334.3428534934137,4
Bi9Cd3,C1,-154.15914972068276,1
Bi9Cd3,H1,-15.482593869539414,2
Bi9Cd3,S1,-332.8168046638275,1
Bi9Cu3,C1,-155.2734718086358,4
Bi9Cu3,C1H1,-172.8929485778208,9
Bi9Cu3,C1H2,-190.53209142229025,9
Bi9Cu3,C1H3,-208.01738069421117,9
Bi9Cu3,H1,-16.51875207368721,4
Bi9Cu3,H1N1,-293.11550186442764,9
Bi9Cu3,H1O1,-461.89329218033527,54
Bi9Cu3,H1S1,-349.78541587980726,10
Bi9Cu3,H2O1,-477.4463986367773,9
Bi9Cu3,N1,-275.5635003474745,4
Bi9Cu3,O1,-443.3966191726504,3
Bi9Cu3,S1,-333.47303521347203,2
Bi9Ga3,C1H1,-172.35976300796028,9
Bi9Ga3,C1H2,-190.09727446088073,9
Bi9Ga3,C1H3,-207.56898538830865,3
Bi9Ga3,H1N1,-292.716229773192,9
Bi9Ga3,H1S1,-349.16694234978786,9
Bi9Ga3,H2O1,-476.8093387791814,9
Bi9Hf3,C1,-155.39469308147818,3
Bi9Hf3,H1,-16.710724985434354,3
Bi9Hf3,N1,-276.49101955056176,4
Bi9Hf3,O1,-445.2503794601216,4
Bi9Hf3,S1,-334.1617707135447,3
Bi9Hg3,O1,-442.77814414601016,1
Bi9Hg3,S1,-332.8294519708252,1
Bi9In3,N1,-275.02968156871793,1
Bi9Ir3,C1H1,-173.5046115066216,9
Bi9Ir3,C1H2,-191.26518936935463,9
Bi9Ir3,C1H3,-208.34673585573546,8
Bi9Ir3,H1N1,-293.03182332155484,9
Bi9Ir3,H1O1,-460.5453894780694,18
Bi9Ir3,H1S1,-350.2553057299374,9
Bi9Ir3,H2O1,-477.6980348206125,9
Bi9Nb3,C1,-155.96326623970526,4
Bi9Nb3,H1,-17.097582154892734,4
Bi9Nb3,N1,-277.6702709936726,2
Bi9Nb3,O1,-445.9572905319292,3
Bi9Nb3,S1,-334.88522929999453,2
Bi9Os3,C1H1,-174.3579376470807,8
Bi9Os3,C1H2,-191.44128212565192,9
Bi9Os3,C1H3,-208.6632502373286,9
Bi9Os3,H1N1,-293.9174091018176,9
Bi9Os3,H1O1,-461.0631757176234,18
Bi9Os3,H1S1,-350.67760082882523,9
Bi9Os3,H2O1,-477.7421484195147,9
Bi9Pb3,O1,-442.79226263646706,1
Bi9Pd3,C1,-154.59886241821368,4
Bi9Pd3,C1H1,-172.1236477893035,9
Bi9Pd3,C1H2,-190.02286166633348,9
Bi9Pd3,C1H3,-207.70462937488264,8
Bi9Pd3,H1,-16.04137419494873,4
Bi9Pd3,H1N1,-292.4365020532714,9
Bi9Pd3,H1O1,-459.88882531686613,32
Bi9Pd3,H1S1,-349.45108076291945,9
Bi9Pd3,H2O1,-476.9721798636456,9
Bi9Pd3,N1,-274.81301092468857,4
Bi9Pd3,O1,-442.58665872619895,4
Bi9Pd3,S1,-332.8471776023289,4
Bi9Pt3,C1,-155.18994197598295,4
Bi9Pt3,C1H1,-172.83380204990317,9
Bi9Pt3,C1H2,-190.66282946846331,6
Bi9Pt3,C1H3,-208.08556439481617,7
Bi9Pt3,H1,-16.88919302343129,4
Bi9Pt3,H1N1,-292.9173391791883,9
Bi9Pt3,H1O1,-462.36741625785,54
Bi9Pt3,H1S1,-349.7377665697495,9
Bi9Pt3,H2O1,-477.46893728180294,9
Bi9Pt3,N1,-275.16434580942223,4
Bi9Pt3,O1,-443.190007896952,4
Bi9Pt3,S1,-333.03024626899423,4
Bi9Re3,C1,-157.48127941157145,4
Bi9Re3,H1,-17.708699359391176,4
Bi9Re3,H1O1,-462.7873587965478,36
Bi9Re3,N1,-278.83559238515227,4
Bi9Re3,O1,-445.69000018317456,4
Bi9Re3,S1,-335.62793626699204,4
Bi9Rh3,C1,-155.17688636217645,4
Bi9Rh3,C1H1,-172.3504399796766,9
Bi9Rh3,C1H2,-190.6341463569006,9
Bi9Rh3,C1H3,-207.8513792796184,9
Bi9Rh3,H1,-16.373226817282557,4
Bi9Rh3,H1N1,-292.4553712431916,9
Bi9Rh3,H1O1,-460.2539105220312,36
Bi9Rh3,H1S1,-349.73882141904323,9
Bi9Rh3,H2O1,-477.1945678915399,9
Bi9Rh3,N1,-274.9408893265427,4
Bi9Rh3,O1,-442.57681228694855,4
Bi9Rh3,S1,-332.92373710295215,4
Bi9Ru3,C1,-156.48026607026623,4
Bi9Ru3,C1H1,-173.4368993792923,9
Bi9Ru3,C1H2,-190.64476750425456,9
Bi9Ru3,C1H3,-208.07222932009972,9
Bi9Ru3,H1,-16.795114289641788,4
Bi9Ru3,H1N1,-293.0738394669861,9
Bi9Ru3,H1O1,-463.5322814504798,54
Bi9Ru3,H1S1,-350.17586522404963,9
Bi9Ru3,H2O1,-477.39491184130384,9
Bi9Ru3,N1,-276.5729941165664,4
Bi9Ru3,O1,-443.53644092299146,4
Bi9Ru3,S1,-333.90618479733166,4
Bi9Sn3,C1H1,-172.61028624620303,9
Bi9Sn3,C1H2,-190.01506655725098,9
Bi9Sn3,C1H3,-207.91845506873142,9
Bi9Sn3,H1N1,-292.6658216369797,9
Bi9Sn3,H1S1,-349.47492269717986,9
Bi9Sn3,H2O1,-476.9719847580236,9
Bi9Ta3,N1,-274.2686527687947,1
Bi9Ta3,O1,-442.19180875696475,1
Bi9Tc3,H1O1,-461.0404879542184,16
Bi9Tl3,C1,-154.47456435419735,1
Bi9Tl3,N1,-274.6692100536857,1
Bi9W3,C1,-157.47764437886144,4
Bi9W3,H1,-17.582419218171708,4
Bi9W3,N1,-278.36398304767135,4
Bi9W3,O1,-446.7184450484456,3
Bi9W3,S1,-335.4936465909923,3
Bi9Zn3,H1O1,-460.3962233385173,18
Cd12,C1,-153.71258084286455,4
Cd12,C1H1,-171.90605549570682,4
Cd12,C1H2,-189.351433558797,4
Cd12,C1H3,-207.06266602591495,4
Cd12,H1,-15.633428339046077,5
Cd12,H1N1,-292.5395353731983,4
Cd12,H1O1,-459.9334706262016,4
Cd12,H1S1,-349.2208509584234,4
Cd12,H2O1,-476.71528644044156,4
Cd12,N1,-274.56350933785507,4
Cd12,O1,-442.8272630068532,4
Cd12,S1,-332.9289771991389,4
Cd3Cr9,C1,-157.93302675179802,9
Cd3Cr9,H1,-17.28221547612702,12
Cd3Cr9,N1,-278.7107983936621,9
Cd3Cr9,O1,-445.76673574145025,9
Cd3Cr9,S1,-335.30622233416943,9
Cd3Cu9,C1,-155.01165639032115,5
Cd3Cu9,H1,-16.427140187908662,5
Cd3Cu9,N1,-275.2035915638626,5
Cd3Cu9,O1,-442.8808276635973,5
Cd3Cu9,S1,-333.5978136944759,5
Cd3Ga9,C1,-155.58408376896114,6
Cd3Ga9,H1,-15.839222865070042,8
Cd3Ga9,N1,-275.9875365667758,8
Cd3Ga9,O1,-443.63513089788466,9
Cd3Ga9,S1,-333.18470611117664,6
Cd3Hf9,C1,-158.10740437456843,5
Cd3Hf9,H1,-17.552446423076617,5
Cd3Hf9,N1,-279.9819531564681,5
Cd3Hf9,O1,-447.5571067020319,5
Cd3Hf9,S1,-335.9112252767736,5
Cd3Hg9,C1,-153.00349653388912,3
Cd3Hg9,H1,-15.47995477348013,6
Cd3Hg9,N1,-273.21082668390954,5
Cd3Hg9,O1,-441.71751528858294,6
Cd3Hg9,S1,-332.33447063968924,4
Cd3In9,C1,-154.85958597975696,7
Cd3In9,H1,-15.76406094111735,9
Cd3In9,N1,-275.3502437797215,9
Cd3In9,O1,-443.32918133607745,9
Cd3In9,S1,-333.0498685339553,7
Cd3Ir9,C1,-158.2944694411235,5
Cd3Ir9,H1,-16.889838885625068,5
Cd3Ir9,N1,-277.59439490695513,6
Cd3Ir9,O1,-443.5433341107564,5
Cd3Ir9,S1,-334.8765445147219,5
Cd3La9,C1,-157.23351459132027,6
Cd3La9,H1,-17.174860580271343,5
Cd3La9,N1,-279.0786675955169,5
Cd3La9,O1,-446.92385004350217,5
Cd3La9,S1,-335.5732404330265,4
Cd3Mo9,C1,-157.82756957785023,7
Cd3Mo9,H1,-17.38459531467015,8
Cd3Mo9,N1,-278.5417703929015,6
Cd3Mo9,O1,-445.5891176510304,9
Cd3Mo9,S1,-335.33555579780295,5
Cd3Nb9,C1,-158.27057621340646,6
Cd3Nb9,H1,-17.523521946539404,5
Cd3Nb9,N1,-279.3640178676251,7
Cd3Nb9,O1,-446.44086444277127,6
Cd3Nb9,S1,-335.56766128299205,7
Cd3Os9,C1,-158.4575733875572,9
Cd3Os9,H1,-16.92317010971601,9
Cd3Os9,N1,-278.2859145397633,9
Cd3Os9,O1,-444.6160514894,9
Cd3Os9,S1,-335.2318000156338,9
Cd3Pb9,C1,-154.24822645787935,7
Cd3Pb9,H1,-15.760179373264691,9
Cd3Pb9,N1,-274.91381522410666,7
Cd3Pb9,O1,-442.9272984486197,9
Cd3Pb9,S1,-332.8900669610666,7
Cd3Pd9,C1,-156.43558987600773,4
Cd3Pd9,H1,-16.739828921046865,3
Cd3Pd9,N1,-275.48132536962294,4
Cd3Pd9,O1,-442.1169224843361,3
Cd3Pd9,S1,-333.67177029016966,3
Cd3Pt9,C1,-157.15261746005126,7
Cd3Pt9,H1,-16.802987495400885,8
Cd3Pt9,N1,-276.05555482216005,7
Cd3Pt9,O1,-442.37806523724794,7
Cd3Pt9,S1,-334.14717289455075,7
Cd3Re9,C1,-158.1503906058315,7
Cd3Re9,H1,-17.06513462048315,7
Cd3Re9,N1,-278.3232280138327,7
Cd3Re9,O1,-445.17188210079985,7
Cd3Re9,S1,-335.47144427866806,7
Cd3Rh9,C1,-157.88784633059913,7
Cd3Rh9,H1,-16.886002216557245,7
Cd3Rh9,N1,-277.3558046768849,7
Cd3Rh9,O1,-443.48760397209116,6
Cd3Rh9,S1,-334.6849261673051,7
Cd3Ru9,C1,-158.18682011809142,8
Cd3Ru9,H1,-16.941736164815666,7
Cd3Ru9,N1,-278.0797625922205,7
Cd3Ru9,O1,-444.53805509165977,7
Cd3Ru9,S1,-335.15221147982083,7
Cd3Sc9,C1,-157.6321424530397,3
Cd3Sc9,H1,-17.634229012772266,3
Cd3Sc9,N1,-279.7826326268514,3
Cd3Sc9,O1,-447.7414283168655,3
Cd3Sc9,S1,-336.0492351571229,3
Cd3Sn9,C1,-154.72048601136703,3
Cd3Sn9,H1,-15.84309763006604,4
Cd3Sn9,N1,-275.5735685595064,3
Cd3Sn9,O1,-443.2746523078895,3
Cd3Sn9,S1,-332.9675300156887,3
Cd3Ta9,C1,-158.5564947952662,3
Cd3Ta9,H1,-17.528758641306922,3
Cd3Ta9,N1,-279.6786760246723,4
Cd3Ta9,O1,-446.6394346184861,3
Cd3Ta9,S1,-335.624077420649,3
Cd3Tc9,C1,-157.9413220061142,3
Cd3Tc9,H1,-17.063253905693273,5
Cd3Tc9,N1,-278.1422483651113,3
Cd3Tc9,O1,-445.0290726765634,5
Cd3Tc9,S1,-335.28557229524085,3
Cd3Ti9,C1,-158.04801552928257,3
Cd3Ti9,H1,-17.578530167193094,3
Cd3Ti9,N1,-279.79576620127045,3
Cd3Ti9,O1,-447.4137805336177,3
Cd3Ti9,S1,-335.80221538455226,3
Cd3Tl9,C1,-154.09713062303126,3
Cd3Tl9,H1,-15.724730015052046,4
Cd3Tl9,N1,-274.7275806489888,3
Cd3Tl9,O1,-442.86995154557735,4
Cd3Tl9,S1,-332.9060389549413,3
Cd3V9,C1,-158.1481006318245,7
Cd3V9,H1,-17.502830410248862,7
Cd3V9,N1,-279.3755314123082,7
Cd3V9,O1,-446.5747960169647,7
Cd3V9,S1,-335.39959425225607,7
Cd3W9,C1,-158.13148631323202,5
Cd3W9,H1,-17.496934655762743,5
Cd3W9,N1,-278.8283676266801,5
Cd3W9,O1,-445.75354815242827,6
Cd3W9,S1,-335.4797615742027,6
Cd3Y9,C1,-157.31676686785795,5
Cd3Y9,H1,-17.56845270329177,5
Cd3Y9,N1,-279.48297664995516,5
Cd3Y9,O1,-447.5456866284494,6
Cd3Y9,S1,-336.0773503671062,5
Cd3Zn9,C1,-155.59517689776112,7
Cd3Zn9,H1,-15.937321672638063,9
Cd3Zn9,N1,-276.2382687884383,7
Cd3Zn9,O1,-443.84624075956526,7
Cd3Zn9,S1,-333.5662361080176,7
Cd3Zr9,C1,-157.98492416704903,9
Cd3Zr9,H1,-17.53497412955403,9
Cd3Zr9,N1,-279.7203546128803,9
Cd3Zr9,O1,-447.30662564143495,9
Cd3Zr9,S1,-335.83297935064184,9
Cd6Cr6,C1,-158.0687999924521,9
Cd6Cr6,H1,-17.463630506994377,9
Cd6Cr6,N1,-277.74776302841565,9
Cd6Cr6,O1,-445.2214509018777,9
Cd6Cr6,S1,-334.503811141949,9
Cd6Cu6,C1,-155.44805365284265,8
Cd6Cu6,H1,-16.28826784274861,10
Cd6Cu6,N1,-275.60761176946835,10
Cd6Cu6,O1,-443.18849712092197,10
Cd6Cu6,S1,-333.6105567855411,8
Cd6Ga6,C1,-155.22089234005398,8
Cd6Ga6,H1,-15.831107886166137,10
Cd6Ga6,N1,-275.75052133158897,9
Cd6Ga6,O1,-443.4757921906421,10
Cd6Ga6,S1,-333.11180490900006,8
Cd6Hf6,C1,-157.23178285884933,8
Cd6Hf6,H1,-17.30867854693861,10
Cd6Hf6,N1,-278.9725008847345,9
Cd6Hf6,O1,-446.7618574099797,10
Cd6Hf6,S1,-335.5165904135247,8
Cd6Hg6,C1,-154.0968669447211,10
Cd6Hg6,H1,-15.655553098928067,10
Cd6Hg6,N1,-274.43604876680547,10
Cd6Hg6,O1,-442.4523108178364,10
Cd6Hg6,S1,-332.6597323927417,10
Cd6In6,C1,-154.73520233593445,10
Cd6In6,H1,-15.767637333301536,10
Cd6In6,N1,-275.2684263594565,10
Cd6In6,O1,-443.12243454768395,10
Cd6In6,S1,-333.0639492005939,8
Cd6Ir6,C1,-157.4616661263717,8
Cd6Ir6,H1,-16.90053758542126,9
Cd6Ir6,N1,-276.70748107510735,9
Cd6Ir6,O1,-443.11449576250016,9
Cd6Ir6,S1,-334.05452439111104,8
Cd6La6,C1,-157.1602933832728,10
Cd6La6,H1,-16.96081093673638,10
Cd6La6,N1,-278.428010617572,10
Cd6La6,O1,-446.50309279596695,10
Cd6La6,S1,-335.2060932852437,8
Cd6Mo6,C1,-157.26490523557732,8
Cd6Mo6,H1,-17.349024321567413,10
Cd6Mo6,N1,-277.77456433672705,8
Cd6Mo6,O1,-444.8370669750984,10
Cd6Mo6,S1,-334.67272839237194,8
Cd6Nb6,C1,-157.14858935890516,8
Cd6Nb6,H1,-17.19154864171287,10
Cd6Nb6,N1,-278.24741124793945,9
Cd6Nb6,O1,-445.6388438699687,10
Cd6Nb6,S1,-335.0308499322964,8
Cd6Os6,C1,-157.40461895672343,10
Cd6Os6,H1,-16.776001829963207,10
Cd6Os6,N1,-277.11785595518086,10
Cd6Os6,O1,-444.7679458423154,10
Cd6Os6,S1,-334.1278092737957,8
Cd6Pb6,C1,-154.72109187283058,10
Cd6Pb6,H1,-15.797511215019767,10
Cd6Pb6,N1,-275.14360243544434,10
Cd6Pb6,O1,-442.93582336701365,10
Cd6Pb6,S1,-333.0464487432873,8
Cd6Pd6,C1,-154.8336290406878,8
Cd6Pd6,H1,-16.469210892162664,8
Cd6Pd6,N1,-274.39015118958196,8
Cd6Pd6,O1,-442.23272406585966,8
Cd6Pd6,S1,-333.0699333920784,8
Cd6Pt6,C1,-155.81069813293652,9
Cd6Pt6,H1,-16.709546868569305,10
Cd6Pt6,N1,-274.9865360148069,10
Cd6Pt6,O1,-442.2823349085229,10
Cd6Pt6,S1,-333.2940885272401,8
Cd6Re6,C1,-158.1676041190949,10
Cd6Re6,H1,-17.61041891583227,10
Cd6Re6,N1,-278.73606593232034,10
Cd6Re6,O1,-445.82415924453744,10
Cd6Re6,S1,-335.0092930739993,10
Cd6Rh6,C1,-157.36437468055738,7
Cd6Rh6,H1,-16.95601112073564,8
Cd6Rh6,N1,-276.61596129986356,7
Cd6Rh6,O1,-442.9823040841911,7
Cd6Rh6,S1,-334.09005810461895,7
Cd6Ru6,C1,-157.1077050709864,8
Cd6Ru6,H1,-16.736819478050165,8
Cd6Ru6,N1,-276.89573772815857,8
Cd6Ru6,O1,-443.6452622403267,8
Cd6Ru6,S1,-333.92717484250534,8
Cd6Sc6,C1,-157.4610239377107,8
Cd6Sc6,H1,-17.21154873674095,8
Cd6Sc6,N1,-278.43958810900585,8
Cd6Sc6,O1,-446.6758765119266,8
Cd6Sc6,S1,-335.43042012423757,8
Cd6Sn6,C1,-154.99755599542914,8
Cd6Sn6,H1,-15.8877192655018,10
Cd6Sn6,N1,-275.37624044741096,8
Cd6Sn6,O1,-443.283662133148,10
Cd6Sn6,S1,-333.1245586125042,8
Cd6Ta6,C1,-157.53615062291647,10
Cd6Ta6,H1,-17.31025395000688,10
Cd6Ta6,N1,-278.6974362436158,10
Cd6Ta6,O1,-445.9937822222055,10
Cd6Ta6,S1,-335.2475687404767,10
Cd6Tc6,C1,-156.97091099526733,8
Cd6Tc6,H1,-16.938887677155435,10
Cd6Tc6,N1,-277.14102944179103,8
Cd6Tc6,O1,-444.2099867564757,10
Cd6Tc6,S1,-334.1774348106046,8
Cd6Ti6,C1,-157.25376081331706,8
Cd6Ti6,H1,-17.233218114113697,8
Cd6Ti6,N1,-278.78373361006743,8
Cd6Ti6,O1,-446.4433745568822,8
Cd6Ti6,S1,-335.2945613037846,7
Cd6Tl6,C1,-154.21387929676712,10
Cd6Tl6,H1,-15.722743856142188,10
Cd6Tl6,N1,-274.7714245830721,10
Cd6Tl6,O1,-442.86976746056826,10
Cd6Tl6,S1,-332.86412240317804,10
Cd6V6,C1,-157.53180047503338,8
Cd6V6,H1,-17.133250972918177,9
Cd6V6,N1,-278.3704858881356,8
Cd6V6,O1,-445.7151066304432,8
Cd6V6,S1,-334.8601076143532,8
Cd6W6,C1,-157.98938724217442,9
Cd6W6,H1,-17.905229361604142,11
Cd6W6,N1,-278.34354906713634,10
Cd6W6,O1,-445.17449003982983,10
Cd6W6,S1,-335.23424863201944,8
Cd6Y6,C1,-157.22513389325832,8
Cd6Y6,H1,-17.190456784930575,10
Cd6Y6,N1,-278.2747069870893,10
Cd6Y6,O1,-446.5342437079307,9
Cd6Y6,S1,-335.3566571375377,8
Cd6Zn6,C1,-155.50090060933871,8
Cd6Zn6,H1,-15.942059990913549,10
Cd6Zn6,N1,-275.93939704362856,8
Cd6Zn6,O1,-443.59167404573964,8
Cd6Zn6,S1,-333.41665948472655,8
Cd6Zr6,C1,-157.08587487433397,9
Cd6Zr6,H1,-17.248017161284224,8
Cd6Zr6,N1,-278.69109231764014,8
Cd6Zr6,O1,-446.4422368489213,7
Cd6Zr6,S1,-335.361864988241,8
Cd9Cr3,C1,-156.98187772719393,9
Cd9Cr3,H1,-16.71067328380741,9
Cd9Cr3,N1,-277.6234400659778,9
Cd9Cr3,O1,-444.93170327013286,9
Cd9Cr3,S1,-334.274889388671,8
Cd9Cu3,C1,-154.4475192318896,9
Cd9Cu3,H1,-15.967466579739266,9
Cd9Cu3,N1,-275.0379151892557,9
Cd9Cu3,O1,-442.85420785521274,9
Cd9Cu3,S1,-333.1600576314959,7
Cd9Ga3,C1,-154.83927771580784,3
Cd9Ga3,H1,-15.74982149605421,5
Cd9Ga3,N1,-275.279345607516,3
Cd9Ga3,O1,-443.1799090721179,3
Cd9Ga3,S1,-332.99579896998694,3
Cd9Hf3,C1,-155.87491278109155,6
Cd9Hf3,H1,-16.826506158417033,5
Cd9Hf3,N1,-277.49571772141644,7
Cd9Hf3,O1,-445.6964920030223,5
Cd9Hf3,S1,-334.94336451682466,6
Cd9In3,C1,-154.68731805557763,16
Cd9In3,H1,-15.702988663568249,17
Cd9In3,N1,-275.17879165283375,16
Cd9In3,O1,-442.9205509778185,16
Cd9In3,S1,-333.00184874090337,16
Cd9Ir3,C1,-155.98292904963455,12
Cd9Ir3,H1,-16.98827865183557,12
Cd9Ir3,N1,-275.3526011019094,12
Cd9Ir3,O1,-442.5739270639169,12
Cd9Ir3,S1,-333.2756249230006,12
Cd9La3,C1,-156.33117721103554,3
Cd9La3,H1,-16.45989317010026,5
Cd9La3,N1,-277.49364271733793,4
Cd9La3,O1,-445.0112469071646,5
Cd9La3,S1,-334.28219768609415,3
Cd9Mo3,C1,-157.0626683258888,10
Cd9Mo3,H1,-16.866449884852045,10
Cd9Mo3,N1,-277.8227034516967,10
Cd9Mo3,O1,-445.0742347300802,10
Cd9Mo3,S1,-334.3834961442408,10
Cd9Nb3,C1,-156.63010950117314,10
Cd9Nb3,H1,-16.860323241773585,9
Cd9Nb3,N1,-277.8949393355324,10
Cd9Nb3,O1,-445.5280264615685,10
Cd9Nb3,S1,-334.7884503805908,9
Cd9Os3,C1,-156.8626763553766,6
Cd9Os3,H1,-17.21660447580871,5
Cd9Os3,N1,-277.20080645747294,6
Cd9Os3,O1,-443.41261307169043,6
Cd9Os3,S1,-333.63184316268234,5
Cd9Pb3,C1,-154.63790299881657,12
Cd9Pb3,H1,-15.808739584401337,14
Cd9Pb3,N1,-275.162414073282,14
Cd9Pb3,O1,-442.89367905596737,14
Cd9Pb3,S1,-332.9885661841545,12
Cd9Pd3,C1,-154.01769392673668,5
Cd9Pd3,H1,-16.066453838997404,5
Cd9Pd3,N1,-274.2138127144899,5
Cd9Pd3,O1,-442.5577177867781,5
Cd9Pd3,S1,-332.908970709439,6
Cd9Pt3,C1,-153.27844620691394,8
Cd9Pt3,H1,-15.81502446167724,8
Cd9Pt3,N1,-274.1127515396147,8
Cd9Pt3,O1,-442.5981779852773,8
Cd9Pt3,S1,-332.82343009157194,8
Cd9Re3,C1,-157.5856564296373,9
Cd9Re3,H1,-17.235759929477354,9
Cd9Re3,N1,-277.99046204139813,9
Cd9Re3,O1,-444.7205912315403,9
Cd9Re3,S1,-334.13574275276187,9
Cd9Rh3,C1,-155.13900675526384,5
Cd9Rh3,H1,-16.58067701994878,6
Cd9Rh3,N1,-274.73272727407675,5
Cd9Rh3,O1,-442.4659267140414,5
Cd9Rh3,S1,-333.2278576515964,5
Cd9Ru3,C1,-156.22974691373383,10
Cd9Ru3,H1,-16.885901806548645,10
Cd9Ru3,N1,-276.23331318726196,10
Cd9Ru3,O1,-442.95508616959705,10
Cd9Ru3,S1,-333.4561776251139,10
Cd9Sc3,C1,-156.42966078758036,5
Cd9Sc3,H1,-16.55501777342215,5
Cd9Sc3,N1,-276.6008372127144,5
Cd9Sc3,O1,-445.0548497483869,5
Cd9Sc3,S1,-334.3555961763086,5
Cd9Sn3,C1,-154.74335037666606,3
Cd9Sn3,H1,-16.005958442787232,5
Cd9Sn3,N1,-275.1437787652103,3
Cd9Sn3,O1,-443.13247364353447,4
Cd9Sn3,S1,-333.1069310780367,3
Cd9Ta3,C1,-156.8564533839999,5
Cd9Ta3,H1,-16.94021314366546,5
Cd9Ta3,N1,-278.1831155098589,5
Cd9Ta3,O1,-445.85042816212444,6
Cd9Ta3,S1,-335.06042857050124,5
Cd9Tc3,C1,-156.90371411549495,6
Cd9Tc3,H1,-16.934510998176847,6
Cd9Tc3,N1,-277.3670259713035,6
Cd9Tc3,O1,-443.87599246216996,6
Cd9Tc3,S1,-333.81517074566,7
Cd9Ti3,C1,-155.89310740079964,5
Cd9Ti3,H1,-16.67934590601726,5
Cd9Ti3,N1,-277.43525416252305,5
Cd9Ti3,O1,-445.3982167317481,5
Cd9Ti3,S1,-334.6326533710089,5
Cd9Tl3,C1,-154.49720504191282,7
Cd9Tl3,H1,-15.75144574355727,10
Cd9Tl3,N1,-274.97542179717857,9
Cd9Tl3,O1,-442.9232013666078,10
Cd9Tl3,S1,-333.0922112159933,7
Cd9V3,C1,-156.6526682826261,9
Cd9V3,H1,-16.704022821588296,9
Cd9V3,N1,-277.797856328918,9
Cd9V3,O1,-445.38430518386303,9
Cd9V3,S1,-334.5692851329477,9
Cd9W3,C1,-157.48834498345605,5
Cd9W3,H1,-17.078590649805847,5
Cd9W3,N1,-278.2691638921424,5
Cd9W3,O1,-445.5753326360791,6
Cd9W3,S1,-334.7708470642574,6
Cd9Y3,C1,-156.45847533012784,5
Cd9Y3,H1,-16.558556069667247,5
Cd9Y3,N1,-276.3618611252168,6
Cd9Y3,O1,-444.92129028987256,5
Cd9Y3,S1,-334.34614130886985,5
Cd9Zn3,C1,-155.00270711039047,3
Cd9Zn3,H1,-15.86806271419482,5
Cd9Zn3,N1,-275.5734507342131,5
Cd9Zn3,O1,-443.298674245445,5
Cd9Zn3,S1,-333.24990962101583,3
Cd9Zr3,C1,-155.8210588673428,6
Cd9Zr3,H1,-16.776770007330924,7
